epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6366,1.13219,2.29882,1.34847,0.95384,0.74617,0.86664,0.64156,0.99138,1.32448,1.11702,0.00054889,0.00054889,0.00054889
2,104.638,1.06176,1.52255,1.27347,0.86242,0.86478,0.92176,0.69534,0.9005,1.04786,1.1133,0.00109362,0.00109362,0.00109362
3,156.254,1.03083,1.35836,1.21336,0.82362,0.78399,0.88428,0.56168,1.14251,2.35052,1.20778,0.00162735,0.00162735,0.00162735
4,207.862,1.04219,1.33556,1.23903,0.92434,0.78817,0.89827,0.67116,0.91888,1.15017,1.10856,0.00161749,0.00161749,0.00161749
5,259.326,1.02075,1.27615,1.18658,0.74475,0.84051,0.82764,0.61141,0.89634,1.66952,1.06064,0.00160099,0.00160099,0.00160099
6,310.734,1.00421,1.19863,1.19204,0.95906,0.97451,0.98986,0.7515,0.86491,1.06214,1.03567,0.00158448,0.00158448,0.00158448
7,361.83,0.9625,1.06508,1.16941,0.9659,0.97199,0.99204,0.74908,0.83511,0.8455,1.0121,0.00156798,0.00156798,0.00156798
8,413.028,0.9707,1.08623,1.16342,0.93914,0.95833,0.97724,0.75055,0.8602,0.93062,1.04969,0.00155148,0.00155148,0.00155148
9,464.607,0.96312,1.11368,1.1799,0.95404,0.92236,0.96433,0.71047,0.96366,0.99524,1.06728,0.00153497,0.00153497,0.00153497
10,515.521,0.94526,0.98021,1.15844,0.86085,0.96667,0.96859,0.7327,0.89372,0.90943,1.05413,0.00151847,0.00151847,0.00151847
11,566.181,0.94711,0.95036,1.14376,0.98976,0.99026,0.9923,0.77427,0.79753,0.78413,0.99868,0.00150197,0.00150197,0.00150197
12,616.825,0.94662,0.95077,1.12166,0.86365,0.94484,0.9122,0.68384,0.85004,0.87316,1.02022,0.00148546,0.00148546,0.00148546
13,667.735,0.92939,0.94155,1.13808,0.90289,0.95492,0.95786,0.69474,0.86435,0.86372,1.06324,0.00146896,0.00146896,0.00146896
14,718.48,0.95335,0.94179,1.16581,0.98502,0.97849,0.99371,0.76666,0.81287,0.76766,1.00967,0.00145246,0.00145246,0.00145246
15,768.879,0.90049,0.88118,1.11247,0.98001,0.975,0.99256,0.77301,0.77475,0.70171,0.99482,0.00143595,0.00143595,0.00143595
16,819.703,0.87103,0.84784,1.1114,0.99103,0.99004,0.99492,0.79383,0.73177,0.65479,0.95861,0.00141945,0.00141945,0.00141945
17,869.876,0.89163,0.83799,1.13735,0.9842,0.98815,0.99462,0.80997,0.73701,0.65064,0.9567,0.00140295,0.00140295,0.00140295
18,919.822,0.87776,0.81347,1.12753,0.972,0.98663,0.99125,0.79362,0.73371,0.67015,0.96481,0.00138644,0.00138644,0.00138644
19,969.668,0.81336,0.75381,1.07014,0.98727,0.99593,0.99475,0.78877,0.76052,0.64088,0.97072,0.00136994,0.00136994,0.00136994
20,1019.56,0.85178,1.1029,1.09451,0.9722,0.99306,0.99484,0.77485,0.80347,0.65742,0.98061,0.00135344,0.00135344,0.00135344
21,1069.42,0.84281,0.88684,1.09984,0.97932,0.99781,0.99467,0.77378,0.76739,0.63844,0.96907,0.00133693,0.00133693,0.00133693
22,1119.14,0.8258,0.78237,1.07868,0.98773,0.99445,0.995,0.7932,0.72388,0.58813,0.94354,0.00132043,0.00132043,0.00132043
23,1168.94,0.82028,0.75997,1.1057,0.98203,0.98893,0.99409,0.79787,0.70958,0.60616,0.94295,0.00130393,0.00130393,0.00130393
24,1218.47,0.89759,0.79608,1.13952,0.97664,0.94896,0.99075,0.78973,0.75856,0.65435,0.99083,0.00128742,0.00128742,0.00128742
25,1268.67,0.87294,0.75235,1.12443,0.99444,0.98333,0.99475,0.79541,0.76137,0.59058,0.97574,0.00127092,0.00127092,0.00127092
26,1318.45,0.83402,0.7097,1.10195,0.9817,0.99723,0.99492,0.79841,0.71944,0.56615,0.9572,0.00125442,0.00125442,0.00125442
27,1367.99,0.82797,0.7279,1.09658,0.98824,0.98676,0.99492,0.79774,0.73003,0.55387,0.97073,0.00123791,0.00123791,0.00123791
28,1418.29,0.78101,0.68673,1.05562,0.99166,0.98978,0.99401,0.80644,0.67348,0.58876,0.94516,0.00122141,0.00122141,0.00122141
29,1468.24,0.85469,0.71659,1.10871,0.97578,0.98824,0.99352,0.78238,0.70308,0.57623,0.95424,0.00120491,0.00120491,0.00120491
30,1517.82,0.77448,0.65882,1.05676,0.98682,0.99064,0.99442,0.79996,0.70562,0.5397,0.95184,0.0011884,0.0011884,0.0011884
31,1567.9,0.79122,0.66632,1.07798,0.97695,0.99923,0.99426,0.80222,0.70317,0.55105,0.94728,0.0011719,0.0011719,0.0011719
32,1617.45,0.80966,0.71546,1.08674,0.98243,0.99155,0.99279,0.82283,0.64676,0.51227,0.92776,0.0011554,0.0011554,0.0011554
33,1667.12,0.75749,0.61336,1.05218,0.96087,1,0.99398,0.80592,0.65916,0.51602,0.93646,0.00113889,0.00113889,0.00113889
34,1716.42,0.76745,0.63203,1.0612,0.97893,0.99972,0.99484,0.79934,0.69209,0.48352,0.93586,0.00112239,0.00112239,0.00112239
35,1765.96,0.77793,0.63664,1.05296,0.96554,0.99155,0.99281,0.81137,0.69076,0.51537,0.93682,0.00110589,0.00110589,0.00110589
36,1815.11,0.8206,0.662,1.08223,0.97424,1,0.99393,0.80024,0.75996,0.53169,0.9448,0.00108938,0.00108938,0.00108938
37,1864.21,0.79606,0.63782,1.0686,0.98998,0.98825,0.99409,0.8263,0.65548,0.49054,0.91399,0.00107288,0.00107288,0.00107288
38,1913.49,0.79589,0.66021,1.08205,0.96346,0.99167,0.99302,0.81559,0.66506,0.48397,0.91721,0.00105638,0.00105638,0.00105638
39,1963.16,0.80358,0.63871,1.06738,0.99694,0.98077,0.99475,0.81834,0.67861,0.48133,0.91751,0.00103987,0.00103987,0.00103987
40,2012.64,0.80031,0.66705,1.07193,0.99312,0.99167,0.99492,0.82656,0.66527,0.45447,0.91779,0.00102337,0.00102337,0.00102337
41,2064.79,0.77044,0.67195,1.0641,0.99518,0.99167,0.99492,0.83131,0.64658,0.43993,0.90838,0.00100687,0.00100687,0.00100687
42,2117.28,0.73081,0.60963,1.03283,0.99352,0.99167,0.99492,0.83634,0.60545,0.42583,0.89382,0.000990365,0.000990365,0.000990365
43,2169.68,0.72738,0.574,1.03926,0.99809,0.98922,0.99492,0.83766,0.61096,0.42506,0.9001,0.000973861,0.000973861,0.000973861
44,2220.52,0.7784,0.58212,1.04668,0.99566,0.99167,0.99492,0.83369,0.62747,0.42409,0.9005,0.000957358,0.000957358,0.000957358
45,2271.52,0.7691,0.613,1.07602,0.99365,0.98841,0.99492,0.8086,0.66198,0.43451,0.90948,0.000940855,0.000940855,0.000940855
46,2322.1,0.75643,0.56756,1.07296,0.99601,0.99167,0.99492,0.82566,0.64002,0.44602,0.90306,0.000924352,0.000924352,0.000924352
47,2376.72,0.74341,0.58393,1.03745,0.995,0.99167,0.99492,0.82091,0.64125,0.42231,0.90644,0.000907848,0.000907848,0.000907848
48,2429.08,0.73673,0.57386,1.04994,0.98995,0.99167,0.99492,0.83599,0.6159,0.42669,0.89813,0.000891345,0.000891345,0.000891345
49,2481.38,0.73118,0.57342,1.03749,0.97226,0.99874,0.99404,0.82136,0.60463,0.41815,0.89491,0.000874842,0.000874842,0.000874842
50,2532.92,0.71246,0.55863,1.01225,0.98743,0.99815,0.99492,0.83931,0.60163,0.43013,0.88649,0.000858338,0.000858338,0.000858338
51,2584.7,0.71994,0.54098,1.04895,0.98932,0.99821,0.99492,0.84025,0.59042,0.42199,0.88412,0.000841835,0.000841835,0.000841835
52,2637.66,0.68618,0.55822,1.0064,0.99367,0.99167,0.99492,0.82931,0.59615,0.40792,0.88558,0.000825332,0.000825332,0.000825332
53,2692.79,0.73344,0.55809,1.0356,0.99139,0.99167,0.99492,0.83482,0.58111,0.41834,0.88081,0.000808828,0.000808828,0.000808828
54,2746.98,0.72218,0.56875,1.037,0.98897,0.99911,0.99492,0.84345,0.57963,0.39926,0.87243,0.000792325,0.000792325,0.000792325
55,2801.16,0.76579,0.55856,1.0852,1,0.9986,0.995,0.84418,0.55286,0.38847,0.86879,0.000775822,0.000775822,0.000775822
56,2855.04,0.73181,0.55412,1.05308,0.99699,0.99825,0.995,0.84377,0.60212,0.38496,0.88443,0.000759318,0.000759318,0.000759318
57,2909.16,0.67638,0.49992,1.01202,0.99701,0.99167,0.99492,0.8537,0.57618,0.3809,0.87604,0.000742815,0.000742815,0.000742815
58,2963.27,0.71221,0.52688,1.02866,0.99548,0.99882,0.995,0.84666,0.57917,0.3781,0.87747,0.000726312,0.000726312,0.000726312
59,3017.46,0.68963,0.5115,1.03083,0.9944,1,0.995,0.85217,0.5549,0.38002,0.87714,0.000709809,0.000709809,0.000709809
60,3071.03,0.68277,0.518,1.02654,0.98981,1,0.995,0.85106,0.54485,0.39548,0.87434,0.000693305,0.000693305,0.000693305
61,3124.88,0.65898,0.49147,1.01413,0.99636,1,0.995,0.85585,0.5575,0.3878,0.87401,0.000676802,0.000676802,0.000676802
62,3178.46,0.68372,0.52726,1.02061,0.99727,1,0.995,0.85369,0.54086,0.36086,0.87191,0.000660299,0.000660299,0.000660299
63,3233.01,0.66798,0.50422,1.01097,0.99671,1,0.995,0.85587,0.52966,0.35799,0.86565,0.000643795,0.000643795,0.000643795
64,3287.48,0.65063,0.47231,1.00073,0.99775,0.99758,0.995,0.85558,0.54207,0.3577,0.86578,0.000627292,0.000627292,0.000627292
65,3341.2,0.68061,0.48211,1.02424,0.99682,0.99798,0.995,0.86453,0.52407,0.35799,0.85897,0.000610789,0.000610789,0.000610789
66,3395.35,0.6351,0.47848,0.98798,0.99768,0.99922,0.995,0.86239,0.51682,0.34321,0.85185,0.000594286,0.000594286,0.000594286
67,3449.57,0.65253,0.48084,1.00488,0.99689,0.99167,0.99492,0.86009,0.52996,0.34971,0.86281,0.000577782,0.000577782,0.000577782
68,3503.41,0.67418,0.5171,1.01439,0.99715,0.99167,0.99492,0.87039,0.51907,0.34922,0.85817,0.000561279,0.000561279,0.000561279
69,3557.16,0.63365,0.46852,1.00077,0.99769,0.99167,0.99492,0.86946,0.52588,0.34886,0.85589,0.000544776,0.000544776,0.000544776
70,3610.51,0.63848,0.46917,0.99086,0.99535,0.99852,0.995,0.85938,0.53472,0.34152,0.86274,0.000528272,0.000528272,0.000528272
71,3664.33,0.66564,0.50455,1.00878,0.99671,0.99892,0.995,0.85732,0.52784,0.33782,0.86039,0.000511769,0.000511769,0.000511769
72,3718.31,0.65268,0.4814,1.01025,0.9985,0.99929,0.995,0.8596,0.49749,0.3354,0.85058,0.000495266,0.000495266,0.000495266
73,3772.14,0.6608,0.46894,1.01389,0.99817,0.99897,0.995,0.86176,0.51247,0.3438,0.85303,0.000478762,0.000478762,0.000478762
74,3825.97,0.63851,0.47242,0.99036,0.99697,0.99838,0.995,0.86381,0.51549,0.33543,0.85745,0.000462259,0.000462259,0.000462259
75,3879.06,0.68911,0.48606,1.03039,0.99548,0.99833,0.995,0.86375,0.50719,0.34108,0.85327,0.000445756,0.000445756,0.000445756
76,3932.69,0.67973,0.54121,1.01528,0.99112,0.99817,0.995,0.88259,0.48729,0.33695,0.84751,0.000429253,0.000429253,0.000429253
77,3986.8,0.64598,0.47325,0.99327,0.98161,1,0.995,0.86595,0.50452,0.33449,0.8549,0.000412749,0.000412749,0.000412749
78,4041.01,0.63148,0.45373,0.99589,0.99527,0.99879,0.995,0.87153,0.4941,0.31795,0.84841,0.000396246,0.000396246,0.000396246
79,4095.86,0.62819,0.45519,0.99066,0.99827,1,0.995,0.87295,0.49462,0.31068,0.8476,0.000379743,0.000379743,0.000379743
80,4149.49,0.60739,0.45321,0.98967,0.99766,1,0.995,0.86814,0.49726,0.31363,0.84981,0.000363239,0.000363239,0.000363239
81,4202.85,0.61264,0.44178,0.99142,0.99877,1,0.995,0.87118,0.48794,0.31315,0.84467,0.000346736,0.000346736,0.000346736
82,4256.85,0.6162,0.441,1.00013,0.99831,1,0.995,0.8738,0.47712,0.30917,0.84407,0.000330233,0.000330233,0.000330233
83,4311.29,0.58975,0.4389,0.98026,0.99761,0.99997,0.995,0.88405,0.46508,0.31486,0.84132,0.000313729,0.000313729,0.000313729
84,4365.65,0.5987,0.43817,0.97645,0.99761,1,0.995,0.88445,0.46111,0.31516,0.84151,0.000297226,0.000297226,0.000297226
85,4419.1,0.59137,0.43702,0.98049,0.99764,1,0.995,0.88246,0.46342,0.30802,0.83911,0.000280723,0.000280723,0.000280723
86,4472.38,0.63245,0.46064,1.00079,0.99823,1,0.995,0.88568,0.47423,0.30856,0.84163,0.00026422,0.00026422,0.00026422
