epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5103,1.26423,2.11628,1.34249,0.89927,0.83318,0.92459,0.64516,1.04986,1.26609,1.10874,0.000550375,0.000550375,0.000550375
2,77.9629,1.16024,1.42985,1.21073,0.90021,0.91605,0.95379,0.63564,1.09668,1.08946,1.10952,0.00110057,0.00110057,0.00110057
3,114.832,1.18669,1.28209,1.22571,0.89636,0.87708,0.947,0.62882,1.11801,1.11623,1.13027,0.00164526,0.00164526,0.00164526
4,151.637,1.18731,1.25231,1.22057,0.95667,0.89576,0.96984,0.66537,1.08199,1.06909,1.12876,0.00164225,0.00164225,0.00164225
5,188.512,1.19407,1.21839,1.26555,0.94564,0.89349,0.97515,0.62881,1.12063,1.08998,1.15613,0.00163399,0.00163399,0.00163399
6,226.58,1.11589,1.14227,1.2151,0.96025,0.92618,0.96175,0.70666,1.00064,1.02035,1.09578,0.00162574,0.00162574,0.00162574
7,264.432,1.08771,1.08557,1.18756,0.98125,0.92618,0.97419,0.71293,0.96279,0.88554,1.06283,0.00161749,0.00161749,0.00161749
8,302.592,1.05815,1.02558,1.18324,0.98586,0.97748,0.99293,0.72232,0.93631,0.83803,1.03182,0.00160924,0.00160924,0.00160924
9,340.89,1.0516,1.04842,1.19079,0.96511,0.96581,0.97988,0.69834,0.97074,0.91925,1.06146,0.00160099,0.00160099,0.00160099
10,378.553,1.0746,1.05166,1.21415,0.92587,0.94525,0.97064,0.70376,0.93178,0.87461,1.07029,0.00159274,0.00159274,0.00159274
11,415.131,1.02294,0.93516,1.14999,0.96767,0.98127,0.99012,0.73732,0.90643,0.75847,1.05361,0.00158448,0.00158448,0.00158448
12,451.819,1.08489,0.97084,1.18716,0.93743,0.97445,0.98697,0.72372,0.92001,0.74002,1.04749,0.00157623,0.00157623,0.00157623
13,488.374,1.02743,0.89146,1.1663,0.97524,0.96409,0.99207,0.75159,0.86468,0.71299,1.00914,0.00156798,0.00156798,0.00156798
14,524.978,1.0173,0.87839,1.15661,0.99118,0.99468,0.99489,0.7604,0.86358,0.67331,1.00865,0.00155973,0.00155973,0.00155973
15,561.403,0.98648,0.82866,1.1331,0.9831,0.96575,0.99296,0.75365,0.84665,0.64951,1.00638,0.00155148,0.00155148,0.00155148
16,597.858,0.99068,0.82113,1.13333,0.98144,0.98156,0.99423,0.76254,0.83487,0.63731,1.0009,0.00154323,0.00154323,0.00154323
17,634.291,1.00187,0.84025,1.1509,0.98978,1,0.99495,0.7751,0.80894,0.61916,0.98977,0.00153497,0.00153497,0.00153497
18,670.834,0.94413,0.75356,1.1258,0.98009,0.98891,0.98973,0.74495,0.83798,0.60416,0.99432,0.00152672,0.00152672,0.00152672
19,707.974,0.95791,0.76624,1.13434,0.97563,0.98248,0.98768,0.76128,0.81888,0.60907,0.99851,0.00151847,0.00151847,0.00151847
20,745.293,0.94434,0.75003,1.1055,0.97006,0.97432,0.98966,0.75467,0.85601,0.69763,1.01001,0.00151022,0.00151022,0.00151022
21,782.561,0.95289,0.76538,1.13564,0.99516,0.95355,0.98982,0.74917,0.88144,0.60686,1.03735,0.00150197,0.00150197,0.00150197
22,819.897,0.91804,0.71777,1.11042,0.99302,0.97717,0.9946,0.77078,0.81123,0.55687,0.98767,0.00149372,0.00149372,0.00149372
23,857.188,0.91182,0.69549,1.10114,0.99132,1,0.99479,0.7689,0.81319,0.54434,1.00698,0.00148546,0.00148546,0.00148546
24,894.356,0.95503,0.72605,1.12738,0.97873,0.9939,0.99384,0.7622,0.84775,0.56809,0.99196,0.00147721,0.00147721,0.00147721
25,931.695,0.97223,0.72069,1.13225,0.98285,0.99323,0.99294,0.7812,0.8004,0.54565,0.98603,0.00146896,0.00146896,0.00146896
26,969.086,0.94176,0.70167,1.13505,0.98829,0.99468,0.99474,0.75258,0.86881,0.55281,1.03374,0.00146071,0.00146071,0.00146071
27,1006.34,0.97288,0.73833,1.15348,0.99828,0.99959,0.995,0.77357,0.83742,0.51782,1.01121,0.00145246,0.00145246,0.00145246
